"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304329250","447285682.638888","763860761.254785","939928047.930536","1018358284.77441","1044998074.18281","941973576.374357","1030659258.72791","1123379892.78885","1261235746.41002","1602744849.89084","2008567017.20226","2520290987.85081","3035898215.23701","4334334440.17214","5513086608.66829","4442602404.30701","5127970681.39017","5623304799.55248","5823562500.21111","6053636513.26958","6177955730.98381","4876717430.26898","5071907002.2966","6265806862.42813","7389479214.66809","8362798998.35637","5738659207.46729","7005975523.3642","11614919599.8135",
"American Samoa","ASM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","44000000","49600000","80600000","135800000","150200000","158600000","124000000","186300000","218300000","331007407.407407","344518518.518518","316859259.259259","385596296.296296","388374074.074074","404748148.148148","419822222.222223","424548148.148148","452740740.740741","470992592.592593","499377777.777778","504151851.851852","523844444.444444","564462062.962963","558501925.925926","530043333.333333","523974814.814815","582057875.925926","648961137.037037","742719443.703704","891863890.37037","1010828402.59259","1029399105.55556","770403173.703704","721555325.185185","691340992.222222","749227458.888889","774668917.407408","999596392.478341","958640257.569961","1039071813.70884","1062695837.05742","1235431986.51089","1292941011.71584","774545507.931833","942510483.754113","",
"Australia","AUS","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69260822750.1837","70439218880.1984","68472118126.3961","68973355300.3816","69079422216.7991","83074113524.9355","95106951313.7563","102042551039.394","104695844312.744","98107296162.8565","105213922675.183","109438251300.61","99008262176.67","110701255793.65","135810168818.37","172787359953.576","200187782014.137","228877206818.655","284956231749.268","329131403448.754","274239651759.385","343407021496.75","414330751102.286","421843397904.225","405876704984.464","389282713848.995","338644214745.697","330843982266.52","373911981712.579","406458736283.859","383186774276.392","308885012456.185","387964185589.525","506386361125.379",
"Austria","AUT","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176830729104.535","195871740832.388","239666448503.666","259697823914.356","208863236296.984","222175555581.096","267774534027.217","250915805937.489","243171571945.681","251643146627.26","209824886243.788","223567272066.841","244222362667.5","273060323554.826","265607468407.139","238018310137.528","300534763966.234","",
"Azerbaijan","AZE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1306037000","1805657000","2133383000","2476249000","1974518000","2414879000","2538585000","3531004000","5245905000","6966306000","8657887000","10853054000","14669133000","17081877000","13857507000","14379007000","21585967000","22811490000","24649800000","23974276000","21732523000","19919961000","20149623000","21795599000","21362941883.647","17849644000","19471426000","28303394000",
"Burundi","BDI","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","258893080.042596","290879257.956138","322545836.632349","306755938.601802","270510504.20168","341272125.212583","357936065.95686","346667669.480947","309860779.306368","285982288.626132","281809355.074422","158736677.530168","147639497.565163","176700395.854232","133496284.795387","164938668.467452","162146877.232985","159969092.997666","193831445.936709","252537106.004178","343930060.1606","460368593.061388","450808917.089697","609427331.042594","538015370.389813","618738761.918564","790272201.986669","943255316.595385","925929771.519243","945189363.347444","849622944.055368","753720198.715519","898725224.788257","915940199.179486","","","","",
"Belgium","BEL","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216240055871.051","241586095252.048","292502880697.691","330119429597.825","367755817677.361","448376946710.218","517467211019.407","412811277130.287","449055976060.605","513393646643.828","481084399402.668","494454628185.803","507228688302.561","413731285659.368","436647853927.237","472992625687.108","524442295006.722","506031866561.953","462564894386.46","572921053550.577","633915584430.21",
"Benin","BEN","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","190685957.40346","268280630.370162","272700837.886415","330393615.908508","373932234.299237","388653445.617533","427776329.533685","679481398.561023","677753384.699015","430628774.245823","440167218.076751","472329164.904289","550380452.783728","634549617.313168","494935644.014699","405728942.500156","491674670.844412","902421358.891728","773814298.059824","769245358.566125","654585061.768597","925756901.197487","801174573.213672","794609794.462863","808483541.472191","889880935.715311","745324774.036743","781412851.605859","938736303.600529","1136065880.38915","1191166503.33438","1188232836.84227","1453292035.88039","2191306127.23809","2465885421.14684","2319045825.15985","2395086383.33007","2426439118.5344","2746035440.9558","3578985940.93454","4382636102.93427","3655631658.46487","3864119217.48756","4168474699.92904","4830550972.88298","4501397298.32869","4275566573.80865","5417801635.95561","",
"Burkina Faso","BFA","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1452824752.08275","1512751217.28298","1769530576.94331","2451450444.90936","2042905455.01113","2657458059.62383","3622856188.48308","4055329145.98322","5066168588.02993","4848055624.01371","4269063025.32978","4635595630.84439","5220392016.71477","5886213676.52317","5748895180.7142","5582825548.37597","7091601572.49995","",
"Bangladesh","BGD","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","988006165.182098","1262655459.51952","1654240678.22535","2163914311.14573","2903749669.41314","2995574240.18859","2814978248.59134","2453586107.9999","2953771832.96055","2918041693.30836","2970945522.22883","3112331493.23376","3528269603.91442","4223427331.8872","4139570598.25002","3936650516.32573","4308527578.14841","4765227107.09597","5564305484.6177","7790362412.01478","7643702670.4729","8032400239.34774","8158949561.44527","9190707400.12723","10017946102.9533","10016843464.4205","9441855805.72044","11431227764.563","13446206767.3173","15615940998.1695","17801946033.0814","20765264113.354","26378962124.8588","24507328507.6505","31034874410.2695","39552695273.8532","39740482108.9668","44208435661.6418","47985052372.4836","48297626955.8469","50948491328.4851","59268104067.9027","67710074715.3028","66963788016.4454","59835136507.3616","88070789359.3273","96875664612.8889",
"Bulgaria","BGR","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","8547000000","9486000000","9186000000","10122000000","10663000000","11729000000","10976000000","12398000000","11056000000","10464000000","8905000000","4338500000","5554600000","6126100000","5475100000","7083800000","6525700000","4840000000","6579499878.47358","7012008934.67617","8314040320.54886","9256385697.15543","9333156795.66094","13039875487.705","18074204720.0861","22034227129.2236","28679869783.7714","39908630585.4385","45095815528.1972","29965751819.5011","29108010000","36960560000","36831180000","39619400000","39585650000","35410020000","35872160000","41387550000","46430670000","46231300000","42653150000","56702490000","65369960000",
"Bahrain","BHR","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","1531479144.20096","2062693935.72879","2502717054.22145","2710003792.39651","3152109120.68782","3983551896.60513","4714095757.21834","4398936181.91207","3839627669.78625","4134042557.77266","3977393617.02128","3166755319.14894","3645744680.85106","3557446808.51064","4114627659.57447","9273936170.21277","7741223404.25532","7089361702.12766","6675798064.68389","7474202823.39654","8268157737.74091","8490042820.56534","8920135487.52861","8876554633.81915","9557596544.82133","11683577403.7007","8910768074.42736","7827685023.46906","7964617024.35184","11289503708.2511","15715080776.8471","19577625769.7351","23298615131.4939","24288007969.551","15433948837.2306","16936048917.8338","24470478723.4043","28801588370.6859","31599283820.1927","30317581430.5623","26272891263.48","25147606382.9787","27978750000","31681382978.7234","","","","",
