1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
-0.2395533070349994,-0.24005968795241842,-0.24054557724999734,-0.2410425144031564,-0.24155267481603193,-0.24205138503521334,-0.24256281335246369,-0.2431165719125491,-0.24371743345496685,-0.24437974038392488,-0.24497091400479087,-0.2455793951360628,-0.24622164074440783,-0.24687920323689716,-0.24755873104410578,-0.24826971571808398,-0.2490013242006361,-0.24973126601281315,-0.25043047217970404,-0.2510547248748652,-0.25161776303484884,-0.25221493420257446,-0.2528405387972411,-0.2534840303551689,-0.25409240620522155,-0.25465281330228656,-0.2553014552959995,-0.25600594157747214,-0.2567696492908435,-0.25756228476811155,-0.2584107971272803
-0.1138753582489694,-0.11414641274997377,-0.11438358787606122,-0.11462071444921053,-0.11491243651890068,-0.11524819911461168,-0.11558833897240524,-0.11587847964958911,-0.11615794217485716,-0.11645129427673898,-0.11672314218788021,-0.11700719701222594,-0.11730387633251395,-0.1175613656767964,-0.11779949100311377,-0.11806642957420631,-0.11835787852596084,-0.11860207182523202,-0.11988787744332807,-0.11990816420788179,-0.12000051288462626,-0.12012407856509466,-0.120254744440077,-0.12037352944503231,-0.12048867217839399,-0.12059872886507197,-0.12067992439803422,-0.12072176686850977,-0.12071640875744144,-0.12053931121393782,-0.12031068431592065
-0.2381957922720967,-0.23911917158475954,-0.2398753584694856,-0.24050512177892983,-0.2410383330648039,-0.24157341539901606,-0.24213315545923159,-0.2427476813324322,-0.24341902415544486,-0.24410857325276572,-0.24477200377950614,-0.24541708246626331,-0.24608127817110623,-0.24675096133451704,-0.24743802437397852,-0.24814843850667054,-0.24887494887533462,-0.24960353972383112,-0.25031579591113845,-0.2509734136752506,-0.25157024468642114,-0.2521937870804969,-0.2528377857862822,-0.2534910014888677,-0.25412609405065223,-0.25472292808778213,-0.25539788719951223,-0.25611391619703117,-0.25687276646322915,-0.2576282259739525,-0.2583954329671738
-0.2527438926282724,-0.25298402266255887,-0.2532115776731667,-0.2534599948733531,-0.2537297398495851,-0.2539953391892537,-0.2542840816624597,-0.2546285927281599,-0.255031175948915,-0.2554700820829302,-0.2559195547141603,-0.2563849435429911,-0.25688464608811745,-0.2573928157364588,-0.25791424586450185,-0.2584584726368412,-0.2590256101648228,-0.2596049349820497,-0.26017521838367125,-0.26069152953122815,-0.2611510113670809,-0.2616462717343203,-0.26217233938754203,-0.2627130507648136,-0.26323313676215104,-0.26371211636006,-0.2642747415990901,-0.2648848569766775,-0.26554964106763607,-0.26622542381676984,-0.26693296784681025
-0.18056503876820493,-0.18116030727290894,-0.18166975097419932,-0.18205942444891854,-0.18237484320838726,-0.1827607610284401,-0.18319218551041963,-0.1835510302229458,-0.18388326453718254,-0.18411593774056023,-0.18442860133469802,-0.18471626325731183,-0.18507286979252952,-0.18531937111871616,-0.18546651786231627,-0.18526876921696303,-0.18494430837254167,-0.18456354700958374,-0.18453529000140972,-0.1846038077437672,-0.18439704651986105,-0.18422343516573372,-0.1842266334060304,-0.18425124119225555,-0.18414794001460025,-0.1839299853800082,-0.1838312244046598,-0.18372275057015924,-0.18379207744506318,-0.18465979788735432,-0.18467776060962512
-0.2224141795503416,-0.2226136698107995,-0.22284397227019298,-0.22314084105199514,-0.2234929692139615,-0.22384676110652849,-0.22421175728718834,-0.22462890730355978,-0.2251003620946696,-0.22560681685051667,-0.22611724215424264,-0.22662667818532178,-0.22712529564667,-0.2275836975847355,-0.22802599895244116,-0.22847332420389999,-0.22864489026175175,-0.22882480253792023,-0.22926364633272628,-0.22962377533452777,-0.2299417261074345,-0.2302992538629371,-0.2306898826134049,-0.23110021609673473,-0.23151009406158174,-0.2319240314282585,-0.23242674641417252,-0.23295708761030132,-0.23356493685856897,-0.23421554143482212,-0.23489781062531317
-0.22920749402469057,-0.23054286601175336,-0.23095120082706563,-0.23011537314099476,-0.2306952590449559,-0.2312776660002681,-0.2314136090976344,-0.2314663100613569,-0.23163544542363104,-0.23172246447216685,-0.2317244877912638,-0.23163716514869928,-0.2314151109686821,-0.2311806536036849,-0.2309650120031019,-0.23071954566689826,-0.23034341985409876,-0.22965094785820686,-0.22901454805315072,-0.2286573444913224,-0.22824809692643871,-0.2278368188514151,-0.2274908105543682,-0.22753591975019644,-0.22775109033486007,-0.22768614714249755,-0.22740222027581838,-0.22700832545310476,-0.22676176214052038,-0.22652432451656257,-0.22627176420160106
-0.2303900575161215,-0.2299257224096889,-0.22959208165913308,-0.22966265096460667,-0.22962089339544356,-0.22947984464210874,-0.22930849637584205,-0.22915852874109272,-0.22904398122851177,-0.228948680426256,-0.22884230156376603,-0.228724242708236,-0.22861531782420194,-0.2284531238168985,-0.228317350191728,-0.2282388523413288,-0.2281441454916087,-0.22804243777610514,-0.22791471123298318,-0.22773195732332727,-0.2275071936847883,-0.2273019979520014,-0.22709108736149078,-0.22685588698067427,-0.22658039012444137,-0.22624964385682672,-0.22595598103232206,-0.22567232558003758,-0.22540920360532568,-0.22510402640610314,-0.22479957578228124
0.20819769684266662,0.2104140152727756,0.21281150819895228,0.21517298075232322,0.21715077207719125,0.21943672762628877,0.22238955036441596,0.22589035481490535,0.2296484696057068,0.23362038394937354,0.23765640053919848,0.24137901006833248,0.24483680386610632,0.24767321123324687,0.24906847867293125,0.24975823286173277,0.24966094634253397,0.24961330455844538,0.25097875269949155,0.2526083726105444,0.25403660119292376,0.2556622768425782,0.25734036960974727,0.25893165556612824,0.26080221517222457,0.2627929589252422,0.26476781431630697,0.2668846152692756,0.26962047820840207,0.2731815177250353,0.276747329508204
-0.2176139351283154,-0.21861749931719623,-0.21942771860053087,-0.22026986002807766,-0.22113545914425534,-0.2220075850905161,-0.22289315017700545,-0.22376454901731832,-0.22464400938055207,-0.2259861312018303,-0.22734982873896598,-0.22830056818356653,-0.22925804284353546,-0.23021200567312006,-0.23116833440263743,-0.23212815846298424,-0.23309285580945133,-0.23404401745708747,-0.23498068501349575,-0.23586291316479321,-0.23668613206055944,-0.23752982219514465,-0.2383927839459208,-0.23927294440154012,-0.24014039764664238,-0.24096948995794018,-0.24185272809877562,-0.24275681380540556,-0.2436687822103453,-0.24460452232744181,-0.24668680535087154
