"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.143741","843376623.376623","506852687.730817","567247614.979354","517226106.17727","351337833.404042","371135639.068689","332378719.934774","359865213.08226","383089746.944268","423629630.453398","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338474939.13173","1413899570.34571","1674567001.77677","1663675189.62427","1268730267.15521","1828759691.82376","2284326937.44601","2926877150.11057","3153322764.25738","3315721290.0021","3137020866.05732","3558717727.44331","4405338884.48097","4907543380.18903","5631685780.5244","3762799932.30001","4898064989.97558","9298973764.54656",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","426000000","334000000","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766444444.444444","761740740.740741","700925925.925926","702518518.518518","773666666.666667","813111111.111111","825222222.222222","814814814.814815","777222222.222222","746740740.740741","807407407.407407","931925925.925926","951629629.62963","956703703.703704","1014518518.51852","1091444444.44444","980185185.185185","914222222.222222","938518518.518518","948148148.148148","952148148.148148","1027296296.2963","1016370370.37037","1043111111.11111","994427259.259259","1036233333.33333","1196203185.18519","598873555.555555","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413600386.46569","2437120390.23172","2773120444.03205","2796640447.79807","3549280568.3108","3428320548.94269","3525760564.54478","3915520626.95316","4016320643.09326","4378080701.01828","5354720857.3979","5715360915.14359","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14184303314.6614","15449644413.8564","16122875995.635","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060326310.4429","26235911918.6712","27497316926.494","27321628427.5322","29290629962.9434","37674393223.7509","45333948552.313","47071497965.5832","52248576632.9071","54226821169.7708","54747048903.8786","58015219647.1809","65793733293.7333","75814064356.3075","83327485616.573","78166587533.0665","71285875422.9853","80695880078.8573","84096737060.6264","82033760848.6648","89138031450.2038","105490823730.26","126785667301.888","148587325338.375","172570464002.512","212794765526.785","213711463549.354","227408518871.585","299792912552.444","332584681561.011","315040645159.582","309608252618.901","271035420848.555","232531917194.505","281624746215.152","312410506327.825","336242202170.134","318576621793.56","342761837206.14","432461791046.896",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254488425.3773","12352078699.0872","14409079177.4207","18066572538.6146","22832410705.0952","26006990002.1272","23441765163.297","22623842865.2093","21981186609.4684","22265892304.5183","24230778797.5525","31689309598.9184","38996595559.4253","44096573052.4908","46607267810.7124","59423124773.0848","60116254566.8827","64678675181.5677","59900881343.9016","65453950126.4908","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85506764813.7261","85517701539.3727","88123586542.1655","97162437618.4825","116896445115.898","141284763656.047","153683280004.98","170970396756.212","204559320050.005","230062733001.008","181624745272.726","201088694407.172","232888437032.784","220969210537.828","229899623200.708","236280892259.341","202784894360.508","207444081442.664","225534464183.708","252348201943.933","247908346659.76","224631996609.724","268527420305.887","286559955029.923",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885196374.62236","2440000000","383311808.118081","902385596.3991","294957728.987884","785310212.827904","791860222.488854","1150456356.05181","1009305138.60034","1281380203.06622","2118054168.34413","2368582114.92689","2667039260.3444","3056572037.1513","4235086046.49151","8336815027.37934","13953852783.3275","22516214810.0105","32132510810.9699","22870715574.2634","28732245203.09","37215153272.871","36912711339.5956","35905449552.591","32558910431.9195","20060048605.928","17580761255.5224","19839877247.4212","25484220742.9338","23629764705.8824","15208764705.8824","25487647058.8235","47274117647.0588",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499997.97599","26249999.974275","27999999.97256","17499999.98285","36749999.963985","16452740.7251167","17828571.4107429","19257142.8378857","18861714.2668526","18371428.5530571","25945142.8311977","21329142.8375912","28961142.8571429","33526603.8537475","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274753","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499425.8531711","61217971.467102","55005758.5302566","45410971.2771723","38676370.9162601","50072047.4404685","63635537.873214","69261012.8141571","92956380.7267365","92221560.1507994","169242769.15919","117576044.139912","197117146.88489","196752237.511961","226242999.918978","222979900.959698","235295491.868639","199192398.999512","168837908.943205","164138992.683104","151646759.766689","133258587.031036","120542434.059074","138797984.672886","152782473.099435",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166731346437.529","171786761887.373","169538549671.103","183016456470.236","219593071857.725","261796408380.927","286519836951.906","313563958756.941","368740547135.766","418418164815.625","332643194053.633","365158050100.009","422313795109.926","398929195236.797","413907322862.553","427246782185.835","359721498493.008","378134817583.319","418211812445.416","451370851760.384","441538322416.462","417263655933.068","516056445491.852","551574450679.769",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.2493431","10801828.2732842","8317363.66858349","9703492.00469945","13861515.0509356","21069296.1597206","20739912.1851887","23474430.0239195","30461095.584993","38939715.8598479","50633276.2737087","59595413.8774845","59023784.613473","78995257.9071337","79408583.9197766","98337358.4438707","90731937.4521537","121349823.490275","153492202.525073","207784726.623691","222261838.860021","205681907.911079","225297401.95728","150766893.841693","205805472.810041","247338455.254169","222807317.773197","238541725.928943","223654544.130066","202741075.714403","375946888.94234","417201321.644202","393976833.800645","510965439.202714","452687270.418659","593804004.019042","625667798.175635","616436708.078891","665156777.921029","846151104.147873","725304885.976026","728426333.410697","827401657.020302","997331579.512812","1146038650.71853","1213941697.73526","1270214596.06456","1800691334.16593","2167074919.75795","1940710261.51145","2199999384.40988","2229520239.76117","2662421029.99923","3451240667.4964","4175438842.64077","2815204783.12484","3263416597.55348","3455561020.04184","3889962071.46735","4264332525.40834","3110348693.10475","3700554283.81396","3768036593.68605",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5016717","19014523.2313549","20997590.0773945","21985467.8461109","11484230.6602694","19676611.923437","21918943.2147681","22215435.2299128","28569263.220319","27823654.4831884","25007054.0962373","26587935.4641986","37028534.9029168","42590341.8459434","62500033.9529605","69071584.9416039","80128161.9388535","90048519.3105492","110202772.373017","144182061.521534","172630478.743716","164734426.875775","143789749.622574","126168356.019251","160016200.402633","154030064.446735","183075139.202828","269185210.124045","287730449.219072","228834176.468717","340110086.198555","327535406.311577","296949143.785777","286407890.983331","269161996.051765","336477084.740335","273232993.195907","264654980.22821","359254785.114322","283164589.649233","262543948.153605","288539801.046197","321134577.79252","437119286.548811","593230247.286674","604914705.187799","717391852.811967","789151146.313678","959257098.106063","1303153837.12076","2074074304.92311","3164493997.46244","3340989537.73511","3640311287.9023","3755133669.95123","3089098213.43508","3325889849.67751","3731626303.38485","4461756776.96591","4467779264.27908","","","",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347691.355166","519448521.02941","546086853.304424","531067333.067804","540135770.207523","570741539.824914","662275557.021677","675028035.681699","623451537.73079","690047514.251654","747575116.132797","550621082.29095","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788426.25489","1594548362.4075","1866930004.59164","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9994813008.13008","11744907683.1447","13530306979.4382","16181037749.5992","17359871971.5359","18472449276.0536","25627355570.3742","26886652094.4453","29304960774.0458","32830355848.1539","33820136017.2719","36924100099.5894","37658617984.7514","40734127424.735","45993811115.0328","39045813927.662","44385395497.2474","59284134887.9185",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","4758064516.12903","4876288659.79381","4138643344.01416","4368450184.50185","6141772842.87575","5962707011.50156","5610103975.95942","6304225560.13692","5825652718.0715","4797546243.42113","4947372074.83837","5519181983.41338","7277450147.69804","10713333421.8633","12703007792.6478","16151250160.3317","23262813855.8432","28590194822.192","21963855855.6423","25431731851.1489","33950299622.8026","32766139394.3375","36065160589.3936","36925581442.7388","32428365100.9757","34482067462.7879","39756643562.6408","43621784916.3698","44058096846.2023","39511560474.216","51551645401.2215","61031400882.9547",
